mesAno,sexo,gastoValor
2015-10,F,63533322
2015-10,M,541681609
2015-11,F,55755559
2015-11,M,496429541
2015-12,F,53391945
2015-12,M,480361806
2015-2,F,47060419
2015-2,M,462402978
2015-3,F,70343057
2015-3,M,607189155
2015-4,F,63931832
2015-4,M,578790931
2015-5,F,72131102
2015-5,M,635733948
2015-6,F,70118754
2015-6,M,605540046
2015-7,F,61606728
2015-7,M,593244064
2015-8,F,85799431
2015-8,M,741091388
2015-9,F,76433187
2015-9,M,689217710
2016-1,F,44644253
2016-1,M,408849632
2016-2,F,71021921
2016-2,M,593118817
2016-3,F,82403616
2016-3,M,756035553
2016-4,F,70858238
2016-4,M,655609427
2016-5,F,76358470
2016-5,M,688535399
2016-6,F,77750171
2016-6,M,651393445
2016-7,F,67925595
2016-7,M,596989766
2016-8,F,50272129
2016-8,M,464846727
2016-9,F,9067193
2016-9,M,93257896
2017-3,M,46757
2017-7,M,17242
2018-6,M,38203
2042-4,M,84
2077-6,M,34
2111-1,M,44277
2111-10,M,20
2201-2,M,899
2301-1,M,72592
3012-10,M,3000
3012-4,M,50
5011-5,M,25
5012-6,M,8714
8201-8,M,8000
9201-6,M,900
9201-9,M,12215
